# fault No. , centroid(lon,lat,z[km]) , node1(lon,lat,z[km]) , node2(lon,lat,z[km]) , node3(lon,lat,z[km]) , mean vertex length(km) , area(km^2) , strike(deg) , dip(deg)
14.0,141.9485784221761,43.37318571804402,-4.597423209619895,141.9504089820081,43.35670624727575,-4.910092827936751,141.9555683184811,43.38271400506098,-5.784254844499628,141.9397579660391,43.3801369017953,-3.097921956423306,5.0,4159533.8887762656,0.03295216961498217,56.81496740472275
15.0,141.92725764021947,43.263667476785145,-1.0211802274807267,141.9215533004844,43.24630698418231,0.0,141.9386663196896,43.25756795127313,-3.061923759980345,141.9215533004844,43.2871274949,-0.001616922461835202,5.0,7620679.533811561,359.98731387688446,58.151058014071864
16.0,141.934840115237,43.2796301189861,-2.34307694935372,141.9386663196896,43.25756795127313,-3.061923759980345,141.944300725537,43.29419491078518,-3.96569016561898,141.9215533004844,43.2871274949,-0.001616922461835202,5.0,8496733.289390748,0.7334034084275641,57.57889339091249
17.0,141.9550786634552,43.282591092207895,-5.885453353533497,141.9553836125354,43.26220999287958,-6.023788046564732,141.9655516522932,43.29136837295891,-7.666881848416779,141.944300725537,43.29419491078518,-3.96569016561898,5.0,6900641.268458336,1.3824845383656874,57.3828973363091
18.0,141.94611688592067,43.2713242849793,-4.350467324054686,141.9386663196896,43.25756795127313,-3.061923759980345,141.9553836125354,43.26220999287958,-6.023788046564732,141.944300725537,43.29419491078518,-3.96569016561898,5.0,6365698.807731605,0.8678784463562724,58.01342042295452
19.0,141.9340388394667,43.30249997355211,-2.1583928043792184,141.944300725537,43.29419491078518,-3.96569016561898,141.9362624923787,43.32617751497116,-2.50787132505684,141.9215533004844,43.2871274949,-0.001616922461835202,5.0,8392631.039558629,0.5422783329065203,57.55095339823031
20.0,141.92645636444917,43.340260759235264,-0.8364417596737136,141.9215533004844,43.32794800561769,0.0,141.9362624923787,43.32617751497116,-2.50787132505684,141.9215533004844,43.36665675711694,-0.001453953964301036,5.0,5969460.434783164,359.9873777678041,56.903677512668665
21.0,141.9872619172505,43.26588109650453,-10.534597915352606,141.9725586016002,43.2591174168233,-9.074241513719244,142.001531734128,43.25193076800117,-11.85207234840527,141.9876954160233,43.28659510468911,-10.6774798839333,5.0,6361406.213241533,357.13055957338963,41.17533010588676
22.0,141.92829715154883,43.24426967271028,-1.8351437120045375,141.9215533004844,43.24630698418231,0.0,141.9246718344726,43.2289340826754,-2.443507376033267,141.9386663196896,43.25756795127313,-3.061923759980345,5.0,4903976.787533309,21.790866178391337,66.97389199848433
23.0,141.92645636444917,43.31375100516295,-0.836496082506225,141.9215533004844,43.2871274949,-0.001616922461835202,141.9362624923787,43.32617751497116,-2.50787132505684,141.9215533004844,43.32794800561769,0.0,5.0,6294803.497699325,0.013311564273736228,56.90224960197601
