0,1
0.0024,5.7
0.0024,5.7
0.0416,1.9
0.0416,1.9
0.0472,1.9
0.0472,1.9
0.0473,5.7
0.0473,5.7
0.0487,5.7
0.0487,5.7
0.0031,3.8
0.0031,3.8
0.0678,9.5
0.0678,9.5
0.0097,5.7
0.0097,5.7
0.0108,1.9
0.0108,1.9
0.0216,5.7
0.0216,5.7
0.0815,1.9
0.0815,1.9
0.0268,7.6
0.0268,7.6
0.0191,1.9
0.0191,1.9
0.0134,9.5
0.0134,9.5
0.0861,9.5
0.0861,9.5
0.0463,7.6
0.0463,7.6
0.0492,5.7
0.0492,5.7
0.0654,7.6
0.0654,7.6
0.8196,1.9
0.8196,1.9
0.8927,9.5
0.8927,9.5
0.0365,7.6
0.0365,7.6
0.0085,3.8
0.0085,3.8
0.0383,1.9
0.0383,1.9
0.1737,1.9
0.1737,1.9
0.4185,1.9
0.4185,1.9
0.0449,7.6
0.0449,7.6
0.4612,1.9
0.4612,1.9
0.1022,7.6
0.1022,7.6
0.1394,7.6
0.1394,7.6
0.0018,7.6
0.0018,7.6
0.2639,3.8
0.2639,3.8
0.438,9.5
0.438,9.5
1.0106,5.7
1.0106,5.7
0.0428,1.9
0.0428,1.9
0.0938,3.8
0.0938,3.8
1.5295,1.9
1.5295,1.9
1.8142,9.5
1.8142,9.5
0.0447,1.9
0.0447,1.9
0.1205,1.9
0.1205,1.9
0.6087,3.8
0.6087,3.8
2.0959,3.8
2.0959,3.8
0.9508,3.8
0.9508,3.8
0.5623,1.9
0.5623,1.9
0.3659,5.7
0.3659,5.7
0.2113,1.9
0.2113,1.9
0.5695,9.5
0.5695,9.5
0.5664,1.9
0.5664,1.9
0.1813,9.5
0.1813,9.5
1.0545,3.8
1.0545,3.8
1.4775,5.7
1.4775,5.7
0.0634,9.5
0.0634,9.5
0.008,1.9
0.008,1.9
1.7,7.6
1.7,7.6
2.1373,7.6
2.1373,7.6
0.183,1.9
0.183,1.9
0.0934,7.6
0.0934,7.6
0.3309,5.7
0.3309,5.7
0.7806,5.7
0.7806,5.7
0.427,9.5
0.427,9.5
0.1412,1.9
0.1412,1.9
0.2153,9.5
0.2153,9.5
1.0389,1.9
1.0389,1.9
0.5101,5.7
0.5101,5.7
0.4023,7.6
0.4023,7.6
0.0826,7.6
0.0826,7.6
0.3264,1.9
0.3264,1.9
0.0739,3.8
0.0739,3.8
0.0725,3.8
0.0725,3.8
0.0594,3.8
0.0594,3.8
1.527,9.5
1.527,9.5
0.203,5.7
0.203,5.7
0.1576,1.9
0.1576,1.9
0.6374,9.5
0.6374,9.5
0.0739,3.8
0.0739,3.8
1.1359,1.9
1.1359,1.9
0.6061,9.5
0.6061,9.5
0.6353,1.9
0.6353,1.9
0.596,1.9
0.596,1.9
0.8254,7.6
0.8254,7.6
0.9937,1.9
0.9937,1.9
0.854,3.8
0.854,3.8
0.421,3.8
0.421,3.8
0.0226,5.7
0.0226,5.7
0.787,5.7
0.787,5.7
0.0411,7.6
0.0411,7.6
0.0783,3.8
0.0783,3.8
1.1298,5.7
1.1298,5.7
0.0256,1.9
0.0256,1.9
0.2025,9.5
0.2025,9.5
0.4975,5.7
0.4975,5.7
0.0403,3.8
0.0403,3.8
0.5128,9.5
0.5128,9.5
0.0214,1.9
0.0214,1.9
0.8586,1.9
0.8586,1.9
0.3802,1.9
0.3802,1.9
0.0746,1.9
0.0746,1.9
0.2632,7.6
0.2632,7.6
0.899,9.5
0.899,9.5
0.9454,7.6
0.9454,7.6
0.9768,3.8
0.9768,3.8
1.3779,1.9
1.3779,1.9
0.0606,5.7
0.0606,5.7
0.0373,3.8
0.0373,3.8
1.6076,5.7
1.6076,5.7
1.3682,1.9
1.3682,1.9
0.4269,5.7
0.4269,5.7
1.0807,1.9
1.0807,1.9
0.4186,7.6
0.4186,7.6
0.484,5.7
0.484,5.7
